IDCliente,Importecompra,Fechacompra,Categoria,Numerodeclicks,Fechadenacimiento,Codigopostalenvio,Tiemporealizacioncompra,Clienteexistente
9738,"817,241753927178",02/04/19,ALMACENAMIENTO,18,02/10/70,47816,90,NO
8421,"514,03912012452",28/06/19,MEMORIA,4,14/08/72,24197,20,NO
8888,"767,320321864775",23/06/21,CPU,20,19/02/98,3813,100,NO
7612,"705,326403961716",24/08/22,RATONES Y TECLADOS,19,03/11/82,43420,95,NO
9306,"656,022107156101",01/11/18,ALMACENAMIENTO,10,01/03/77,23004,50,NO
9624,"398,711303286118",26/12/19,ALMACENAMIENTO,5,07/02/96,5196,25,NO
2327,"628,151812840955",12/06/19,MEMORIA,3,11/10/78,17463,15,NO
9229,"461,637012120192",23/06/19,RATONES Y TECLADOS,6,25/06/99,16194,30,NO
8392,"250,22786351129",07/09/20,ALMACENAMIENTO,15,23/08/70,37591,75,NO
7529,"702,478255161001",21/03/22,MONITOR,3,11/05/99,43365,15,NO
4756,"559,039800689198",30/09/22,MONITOR,19,14/02/70,18310,95,NO
4101,"497,31261080861",18/05/19,RATONES Y TECLADOS,16,27/04/76,23539,80,NO
3297,"29,6788618976686",23/07/17,CPU,11,23/12/97,15707,55,NO
9504,"706,569260968146",08/01/20,CPU,5,16/08/03,24523,25,NO
3391,"95,7761438851173",10/02/17,MONITOR,16,06/05/95,27289,80,NO
4328,"93,1995929426328",23/06/16,MEMORIA,5,30/03/87,50513,25,NO
3464,"737,921377303233",27/04/16,MEMORIA,6,16/05/93,5270,30,NO
6602,"17,938758986201",15/03/18,MONITOR,5,17/09/87,30368,25,NO
5806,"836,692990359054",08/01/20,MONITOR,14,14/07/97,49330,70,NO
5214,"161,191804179303",27/04/21,ALMACENAMIENTO,12,03/07/98,27677,60,NO
3761,"527,30179429321",23/01/15,RATONES Y TECLADOS,3,13/06/90,43817,15,NO
4879,"59,8861864414717",03/05/20,CPU,11,06/07/70,22349,55,NO
6855,"288,837866355686",29/11/15,ALMACENAMIENTO,7,04/01/79,38830,35,NO
4855,"997,465290693262",27/01/20,MEMORIA,11,21/09/75,42107,55,NO
8748,"386,793738931777",19/07/15,MEMORIA,9,22/04/99,34191,45,NO
9611,"676,127799401221",24/03/19,ALMACENAMIENTO,16,07/09/86,3517,80,NO
6452,"430,59050198178",08/10/21,CPU,14,15/11/91,32339,70,NO
6610,"398,064172733071",13/09/21,ALMACENAMIENTO,16,25/08/99,32703,80,NO
4534,"894,759262489989",06/12/15,MONITOR,13,07/11/82,23330,65,NO
5257,"118,624983233378",07/07/16,CPU,20,10/06/99,22830,100,NO
9752,"526,184291700613",17/01/18,MEMORIA,14,23/06/77,49520,70,NO
8279,"126,229693024559",20/12/16,RATONES Y TECLADOS,2,16/09/85,36589,10,NO
5797,"899,094047907375",13/12/18,MEMORIA,5,05/02/99,49512,25,NO
5589,"172,643405259564",04/09/18,ALMACENAMIENTO,11,10/01/05,49232,55,NO
6714,"95,3234882313407",05/12/22,MEMORIA,20,22/04/79,23479,100,NO
7135,"467,618150847331",18/09/18,MONITOR,19,25/04/90,36711,95,NO
7169,"878,80656552534",05/06/18,MONITOR,12,02/02/76,35120,60,NO
4295,"846,390850677885",04/03/16,MEMORIA,10,24/01/83,50830,50,NO
7564,"397,282504968854",06/12/22,ALMACENAMIENTO,11,21/06/71,35119,55,NO
3344,"193,742722350559",30/09/16,MONITOR,17,05/08/73,34128,85,NO
7561,"863,930461480661",21/01/15,MEMORIA,17,29/08/00,33816,85,NO
7178,"783,674927230621",12/05/18,MEMORIA,1,10/05/92,23640,5,NO
4729,"684,65719419664",04/07/17,MEMORIA,2,20/01/77,7108,10,NO
6432,"851,106516617786",19/04/15,CPU,11,29/05/84,31241,55,NO
1771,"205,621004008264",27/02/22,ALMACENAMIENTO,10,08/11/03,44600,50,NO
8763,"857,002892133455",12/10/18,MONITOR,10,06/03/99,5370,50,NO
2800,"71,1397378055495",12/06/15,CPU,12,14/05/00,33150,60,NO
7612,"575,308022434639",12/06/18,RATONES Y TECLADOS,5,03/11/82,6930,25,NO
8778,"905,696289353735",21/06/19,MEMORIA,14,14/10/72,50297,70,NO
1517,"248,948386550139",02/06/18,MEMORIA,17,14/09/04,36852,85,NO
7962,"988,060101600857",14/03/18,RATONES Y TECLADOS,18,18/09/80,40216,90,NO
9755,"394,560601595386",16/12/18,RATONES Y TECLADOS,14,19/12/98,9108,70,NO
2348,"202,396084913473",01/04/15,RATONES Y TECLADOS,13,13/10/92,23393,65,NO
3692,"348,305462391332",05/09/20,CPU,6,10/01/77,30859,30,NO
7659,"390,001931795242",27/01/21,CPU,8,06/12/91,28492,40,NO
1650,"565,211126903508",28/01/22,CPU,16,16/06/97,13279,80,NO
3310,"40,9430340072061",08/02/22,MEMORIA,5,10/05/02,5357,25,NO
1960,"90,4777314976443",13/06/16,CPU,15,23/11/01,27637,75,NO
8374,"414,106757082912",01/11/22,MONITOR,8,18/01/72,25612,40,NO
3020,"526,280153492367",27/06/16,RATONES Y TECLADOS,14,08/06/75,3779,70,NO
8466,"621,862016808983",19/10/21,MEMORIA,16,15/09/76,24370,80,NO
3406,"836,780879536836",21/01/17,RATONES Y TECLADOS,17,13/03/75,27790,85,NO
7764,"66,0884836173005",26/07/18,MONITOR,15,13/11/77,32622,75,NO
1230,"767,73314637758",26/03/17,RATONES Y TECLADOS,7,07/10/77,49358,35,NO
3668,"700,656867427328",14/02/22,ALMACENAMIENTO,17,24/01/77,17466,85,NO
2437,"112,870142720691",11/01/22,CPU,17,29/03/00,32314,85,NO
5076,"392,908881989893",11/11/19,MEMORIA,1,20/11/79,11390,5,NO
4092,"804,943069540827",17/01/18,ALMACENAMIENTO,11,29/08/84,43479,55,NO
8625,"117,370125340606",03/12/15,MONITOR,6,16/04/01,9246,30,NO
8020,"694,187558165296",20/04/21,CPU,8,18/02/89,37186,40,NO
4534,"294,825726560315",13/01/17,CPU,16,07/11/82,50700,80,NO
5027,"684,307718700765",26/07/15,ALMACENAMIENTO,7,12/12/81,5470,35,NO
5852,"769,288305264899",07/04/20,MEMORIA,3,13/07/93,36848,15,NO
3392,"637,056955917729",10/08/19,RATONES Y TECLADOS,19,01/09/76,25193,95,NO
3085,"86,2567860190147",10/12/20,ALMACENAMIENTO,19,12/12/88,41520,95,NO
6562,"496,383472192979",05/05/22,ALMACENAMIENTO,15,26/03/05,26326,75,NO
2428,"812,522831371473",18/01/15,MONITOR,4,17/03/78,44491,20,NO
1252,"533,030718858726",14/06/21,MONITOR,8,17/09/94,50512,40,NO
7755,"132,694861499892",26/01/16,MONITOR,8,21/01/93,29430,40,NO
8357,"344,839789695968",04/03/16,ALMACENAMIENTO,2,19/06/78,24192,10,SI
5777,"407,98925046485",22/10/22,MEMORIA,19,16/07/80,25548,95,NO
4297,"301,989865387475",17/10/17,MEMORIA,7,15/08/87,49211,35,NO
1992,"543,324143843863",11/08/20,RATONES Y TECLADOS,3,18/08/86,5540,15,NO
5393,"68,7991410911952",09/03/22,ALMACENAMIENTO,8,26/01/78,3800,40,NO
3836,"654,017072776492",09/06/19,MEMORIA,9,30/03/92,29510,45,NO
4359,"783,461390468399",17/11/21,MONITOR,11,08/07/74,33770,55,NO
4661,"563,678066908099",05/03/18,RATONES Y TECLADOS,13,22/07/82,24689,65,NO
4408,"307,793262997977",10/09/18,RATONES Y TECLADOS,8,03/07/98,4899,40,NO
8625,"88,8058705753878",07/12/16,RATONES Y TECLADOS,14,16/04/01,1439,70,NO
4775,"523,062009003877",17/08/21,MEMORIA,3,30/05/02,28510,15,NO
4838,"605,470799172546",23/07/16,CPU,1,18/09/76,28919,5,NO
4920,"957,889158256354",29/12/18,ALMACENAMIENTO,18,20/12/81,21820,90,NO
4347,"693,478768284259",20/10/20,ALMACENAMIENTO,8,03/10/95,27617,40,NO
9863,"827,689387118071",25/05/18,ALMACENAMIENTO,18,15/04/78,46220,90,NO
4050,"316,273236954631",26/12/16,MEMORIA,1,01/07/81,46839,5,NO
3391,"547,469915327112",06/03/21,CPU,19,06/05/95,47007,95,NO
1444,"127,75352397433",07/04/21,RATONES Y TECLADOS,11,08/08/72,19141,55,NO
1083,"607,486999880308",27/03/21,ALMACENAMIENTO,1,09/09/86,33796,5,NO
4667,"859,354771566547",30/06/18,ALMACENAMIENTO,10,18/01/91,21003,50,NO
5606,"599,322971546456",02/11/16,MONITOR,18,22/08/04,38593,90,NO
5586,"820,076480059005",27/06/19,MONITOR,4,17/03/85,8469,20,NO
2381,"378,418994895811",23/07/19,RATONES Y TECLADOS,18,17/11/81,11407,90,NO
3640,"229,092940965491",02/03/18,MONITOR,10,17/07/85,27272,50,NO
6860,"81,4632910489564",04/09/21,ALMACENAMIENTO,12,22/11/70,19276,60,NO
7419,"176,667043914475",16/10/19,MEMORIA,13,18/07/73,8734,65,NO
8658,"476,21479229959",25/03/17,ALMACENAMIENTO,9,04/04/74,18293,45,NO
3746,"65,0103336392231",03/10/22,MONITOR,19,22/09/01,17176,95,NO
3507,"399,730094537267",17/02/20,ALMACENAMIENTO,11,15/11/93,31878,55,NO
1120,"272,143920482491",16/03/15,RATONES Y TECLADOS,10,17/03/99,32578,50,NO
7630,"829,643327486965",03/06/16,CPU,13,09/06/75,10666,65,NO
6515,"695,383231192403",16/01/22,ALMACENAMIENTO,11,13/10/72,28850,55,NO
6778,"541,945981620626",15/05/18,CPU,13,03/05/94,47494,65,NO
7177,"263,229549294299",17/05/15,ALMACENAMIENTO,9,24/05/72,9640,45,NO
7154,"948,566170785624",17/08/19,CPU,12,26/02/96,24816,60,NO
7004,"337,013686959316",27/08/16,CPU,12,28/02/75,19224,60,NO
5653,"335,745660014498",02/04/19,MONITOR,9,04/11/01,9391,45,NO
1834,"730,509039095114",13/01/17,CPU,15,15/01/94,45589,75,NO
2500,"98,8997799851071",21/10/21,MONITOR,5,03/10/94,31396,25,NO
4757,"596,774124423847",02/03/15,CPU,10,10/05/70,22080,50,NO
1991,"229,326951618583",11/09/16,MEMORIA,8,14/11/90,25480,40,NO
4758,"166,821581824327",22/05/19,CPU,2,27/02/74,31271,10,NO
4818,"370,151339402271",11/07/21,CPU,20,07/02/99,15995,100,NO
2646,"141,921796849255",10/08/18,RATONES Y TECLADOS,2,25/10/88,41599,10,NO
2719,"710,989715660228",14/10/21,CPU,15,22/04/99,20550,75,NO
3664,"287,057337785673",22/02/19,RATONES Y TECLADOS,13,13/12/94,7005,65,NO
1410,"436,944204709824",05/02/20,RATONES Y TECLADOS,16,19/01/93,5694,80,NO
5865,"231,819536282029",18/03/22,ALMACENAMIENTO,10,20/01/86,37795,50,NO
2855,"683,938426287891",20/07/18,MONITOR,3,13/03/88,37466,15,NO
7965,"296,603286006773",25/04/18,MONITOR,9,24/05/86,34419,45,NO
5057,"310,258330767256",01/07/16,RATONES Y TECLADOS,4,04/09/71,46730,20,NO
5490,"880,739227498339",27/11/17,RATONES Y TECLADOS,5,14/05/97,15152,25,NO
2316,"441,189572817998",15/06/16,MONITOR,8,20/02/84,30366,40,NO
1799,"278,534024662794",18/01/17,CPU,19,09/09/89,8520,95,NO
6804,"592,452638116611",03/03/22,MONITOR,18,08/09/97,32646,90,NO
5337,"319,394353031362",05/07/19,CPU,14,28/02/94,27671,70,NO
6786,"25,1533058662657",17/07/22,RATONES Y TECLADOS,11,24/06/97,40495,55,NO
9321,"800,216392965949",25/12/20,CPU,17,09/12/05,25752,85,NO
8252,"845,119716644912",19/11/18,MONITOR,7,23/12/75,21668,35,NO
7529,"42,7517637957167",06/10/20,CPU,1,11/05/99,39180,5,NO
3570,"985,020147890018",25/07/22,MEMORIA,15,27/01/80,4728,75,NO
7054,"226,574545959667",06/01/17,RATONES Y TECLADOS,11,19/10/76,37800,55,NO
4616,"748,518486681943",17/08/18,ALMACENAMIENTO,15,01/02/83,9249,75,NO
3032,"925,379818082706",25/06/16,CPU,16,28/02/94,17474,80,NO
2074,"513,186305584032",06/04/17,MEMORIA,15,09/01/73,26587,75,NO
1278,"178,209655718324",18/11/21,ALMACENAMIENTO,2,03/02/72,8518,10,NO
4478,"694,552906624388",01/05/21,CPU,13,11/01/77,24493,65,NO
9235,"383,585505004605",25/12/16,ALMACENAMIENTO,19,28/07/89,21540,95,NO
7535,"337,352198428161",23/01/21,CPU,20,02/04/90,48902,100,NO
7937,"178,397438392311",02/01/20,MEMORIA,8,19/05/83,29314,40,NO
1573,"42,9172027019623",23/02/16,MEMORIA,3,21/10/98,6120,15,NO
4097,"693,431698561111",22/09/17,MONITOR,12,11/04/05,25135,60,NO
4826,"422,133630476572",15/10/20,CPU,19,26/07/99,48142,95,NO
6649,"911,282004375551",01/03/15,ALMACENAMIENTO,17,29/04/76,38410,85,NO
8719,"865,143375978129",20/03/21,ALMACENAMIENTO,8,23/11/97,42259,40,NO
9454,"134,118134017209",06/01/20,RATONES Y TECLADOS,6,18/02/86,32005,30,NO
4736,"145,91892677782",23/11/20,MEMORIA,5,11/02/99,5146,25,NO
6406,"224,007322753369",21/10/16,ALMACENAMIENTO,14,10/07/89,15113,70,NO
4558,"120,889767176713",28/02/19,ALMACENAMIENTO,7,07/03/04,49270,35,NO
8229,"570,202902172368",23/10/18,MONITOR,9,04/12/98,29679,45,NO
5763,"844,571246144137",17/03/17,RATONES Y TECLADOS,8,23/06/85,33783,40,NO
6936,"921,344208179614",03/08/20,MONITOR,1,04/04/79,48111,5,NO
4546,"157,170438084339",20/10/15,CPU,8,14/06/87,10120,40,NO
7102,"825,749682764517",11/11/20,RATONES Y TECLADOS,14,21/06/71,6468,70,NO
6242,"947,6285307395",04/10/21,MEMORIA,20,04/05/70,36380,100,NO
2726,"763,583492998222",09/02/19,CPU,1,05/05/91,45578,5,NO
1380,"250,159090037763",08/04/18,MEMORIA,18,19/02/94,34492,90,SI
5186,"577,918936832221",05/12/21,MEMORIA,19,06/07/92,34405,95,NO
8434,"769,50247677259",21/10/15,RATONES Y TECLADOS,9,16/01/92,39792,45,NO
1933,"406,340275685291",03/01/18,ALMACENAMIENTO,8,22/12/73,37100,40,NO
6133,"713,276324976207",16/08/20,RATONES Y TECLADOS,17,24/11/84,30640,85,NO
4871,"151,516628279479",02/06/15,MEMORIA,11,15/12/92,27336,55,NO
7251,"334,689334092079",16/04/19,CPU,11,15/05/94,50295,55,NO
2864,"967,140847644401",25/09/22,MEMORIA,7,10/09/86,3723,35,NO
7354,"959,254069865851",01/05/20,ALMACENAMIENTO,17,24/08/99,41950,85,NO
1513,"309,756261711865",01/06/22,MEMORIA,1,18/10/86,7180,5,NO
6308,"605,272417040193",12/09/20,MONITOR,2,23/03/81,24252,10,NO
4337,"356,387060703238",17/10/20,RATONES Y TECLADOS,6,21/12/92,26124,30,NO
6759,"353,873995544902",06/09/19,RATONES Y TECLADOS,16,27/07/80,34310,80,NO
4809,"136,996139975822",25/01/20,CPU,10,13/10/89,37440,50,NO
5085,"243,973344696949",08/05/19,CPU,20,19/06/83,21440,100,NO
9485,"424,657987102458",03/05/16,ALMACENAMIENTO,20,03/03/05,26258,100,NO
8408,"922,718103764021",15/03/15,CPU,8,29/03/91,25572,40,NO
2753,"825,847173615554",21/05/18,MONITOR,2,22/07/95,24446,10,NO
3822,"300,152100945464",16/08/17,ALMACENAMIENTO,7,21/02/83,6008,35,NO
8832,"466,736023762552",28/12/18,ALMACENAMIENTO,2,29/07/84,28260,10,NO
3978,"108,679428464237",01/08/18,MEMORIA,17,19/02/76,8410,85,NO
8906,"685,692867609056",30/11/16,ALMACENAMIENTO,17,23/06/73,37523,85,NO
7185,"790,347928542296",24/10/17,ALMACENAMIENTO,6,02/09/78,43786,30,NO
4231,"11,0312625456163",01/05/19,ALMACENAMIENTO,10,16/03/85,28560,50,NO
1365,"344,931935105881",09/08/20,RATONES Y TECLADOS,14,22/05/90,31892,70,NO
7044,"252,65922811063",02/02/18,CPU,10,12/10/73,31513,50,NO
1100,"493,208266196447",30/04/21,MONITOR,7,24/11/00,47316,35,NO
6915,"354,517530092565",07/08/18,ALMACENAMIENTO,4,13/05/79,15704,20,NO
5617,"813,023365287501",04/01/22,MEMORIA,16,25/05/92,39686,80,NO
6713,"293,631183678157",19/05/15,MONITOR,20,01/07/94,35349,100,NO
6499,"832,483485365275",10/02/15,RATONES Y TECLADOS,11,15/06/82,18501,55,NO
9947,"529,754893699536",10/01/19,MEMORIA,15,19/11/91,22111,75,NO
2405,"482,207298430233",14/12/15,ALMACENAMIENTO,5,09/05/80,22483,25,NO
6985,"299,213875630864",22/06/21,MONITOR,18,15/03/83,16152,90,NO
6956,"520,092582523452",19/03/15,MEMORIA,14,29/01/75,31760,70,NO
2077,"906,595582037246",18/07/17,MONITOR,18,12/01/00,44450,90,NO
5192,"694,980273140292",13/09/20,MONITOR,15,07/05/91,22889,75,NO
6904,"817,329083417551",28/05/20,MONITOR,13,03/01/92,46792,65,NO
6489,"313,411644767006",28/06/16,CPU,7,20/03/83,9545,35,NO
4966,"110,489687852908",11/07/21,RATONES Y TECLADOS,16,19/04/02,22513,80,NO
8079,"450,794501191825",14/04/22,ALMACENAMIENTO,20,26/07/00,5292,100,NO
2074,"499,417077431329",16/08/21,ALMACENAMIENTO,7,09/01/73,43320,35,NO
5993,"554,070269087252",07/12/21,MEMORIA,18,15/11/96,49176,90,NO
6360,"478,826973173061",29/04/17,RATONES Y TECLADOS,4,09/05/85,7669,20,NO
2723,"742,855459070425",02/06/15,ALMACENAMIENTO,2,08/12/75,23315,10,NO
6280,"857,218124236218",18/07/18,MONITOR,1,24/06/90,9346,5,NO
8846,"741,580361117653",27/04/15,ALMACENAMIENTO,14,09/04/72,34349,70,NO
4837,"551,459523624806",25/09/16,MEMORIA,2,14/06/74,24190,10,NO
3652,"767,514425166568",10/01/22,RATONES Y TECLADOS,4,04/08/86,31153,20,NO
6449,"84,9674248694354",09/06/19,ALMACENAMIENTO,2,19/01/70,10865,10,NO
1865,"822,472162928178",05/09/17,MONITOR,10,24/12/02,1423,50,NO
4251,"260,424127125439",12/11/15,CPU,20,17/07/03,28990,100,NO
7422,"622,255818526573",18/05/21,MEMORIA,13,11/02/04,44791,65,NO
8793,"466,705846903596",29/03/17,MEMORIA,13,23/03/80,9591,65,NO
5541,"739,247850417227",04/04/22,MEMORIA,7,15/01/97,17857,35,NO
3704,"23,709051825582",11/05/16,MEMORIA,19,29/10/81,24568,95,NO
3272,"961,193147332856",09/06/19,MEMORIA,2,07/04/03,33683,10,NO
3453,"472,367418498543",11/10/16,RATONES Y TECLADOS,3,24/03/76,9213,15,NO
1324,"102,163607422847",08/12/19,MEMORIA,4,17/05/84,24288,20,NO
7594,"766,856377038276",01/03/17,ALMACENAMIENTO,16,29/07/90,35479,80,NO
5199,"186,65619358514",21/02/19,MEMORIA,7,15/11/74,40518,35,NO
7549,"24,8684790289416",01/03/20,MEMORIA,16,01/12/72,29491,80,NO
3650,"302,365224977834",14/03/20,ALMACENAMIENTO,17,09/01/81,3827,85,NO
4971,"65,7009938648786",29/11/21,RATONES Y TECLADOS,6,26/10/70,19461,30,NO
5687,"283,732445781647",26/04/19,ALMACENAMIENTO,3,07/10/72,46843,15,NO
2940,"747,869406617955",19/12/20,ALMACENAMIENTO,5,25/11/03,17536,25,NO
2362,"665,812164428797",17/12/18,MEMORIA,12,10/07/76,35016,60,NO
6886,"766,734229363206",11/11/19,CPU,15,09/01/00,28739,75,NO
1066,"681,884525763547",11/06/15,MEMORIA,13,16/10/76,37694,65,NO
8183,"589,893239991698",24/08/22,ALMACENAMIENTO,20,12/07/99,24190,100,NO
4827,"600,964961468522",16/04/17,ALMACENAMIENTO,20,23/01/01,24648,100,NO
8495,"890,267006382221",25/02/18,ALMACENAMIENTO,2,16/12/93,31876,10,NO
5678,"464,356318287048",09/08/19,ALMACENAMIENTO,5,13/10/92,20015,25,NO
9058,"475,490205492793",09/07/22,MONITOR,12,25/12/71,19491,60,NO
3452,"446,179187757608",14/03/20,MONITOR,1,21/10/87,39513,5,NO
8766,"121,42595008613",30/09/22,MONITOR,1,20/11/99,25244,5,NO
5068,"639,808191524939",07/03/16,MONITOR,19,02/10/81,18415,95,NO
9237,"814,258959301268",26/03/16,CPU,12,03/03/80,26005,60,NO
6256,"497,88005035008",17/02/16,ALMACENAMIENTO,3,06/10/99,42213,15,NO
4352,"517,286371436014",25/04/17,ALMACENAMIENTO,13,06/02/82,42180,65,NO
6096,"220,317053838543",15/10/22,MEMORIA,7,22/08/91,42225,35,NO
4735,"354,831285974929",19/02/22,RATONES Y TECLADOS,16,07/06/90,37428,80,NO
9476,"553,198087188339",22/03/20,RATONES Y TECLADOS,20,13/11/80,36510,100,NO
8197,"811,495373228167",19/05/15,MEMORIA,12,26/04/02,2410,60,NO
5339,"214,542741951768",15/09/16,MEMORIA,6,02/04/83,48960,30,NO
3397,"34,9018519475014",25/05/16,ALMACENAMIENTO,5,30/01/89,28721,25,NO
5298,"206,361819904429",11/09/22,ALMACENAMIENTO,2,03/07/71,39360,10,NO
1928,"897,977572497976",01/11/16,MEMORIA,9,04/03/79,2652,45,NO
7180,"478,10319556296",03/10/19,MONITOR,5,05/04/87,34440,25,NO
8738,"511,308738532872",02/04/21,RATONES Y TECLADOS,10,27/09/77,18292,50,NO
9000,"649,548395412479",09/02/18,MONITOR,5,18/02/74,24765,25,NO
6336,"917,971030398977",18/01/15,MEMORIA,15,05/12/72,16464,75,NO
3614,"940,122040545298",10/10/21,MONITOR,7,01/06/78,30858,35,NO
4077,"564,066082218115",16/04/18,MEMORIA,8,28/04/93,8301,40,NO
2261,"718,018305787941",25/06/20,ALMACENAMIENTO,11,12/07/77,43737,55,NO
9694,"807,921490630534",26/08/20,ALMACENAMIENTO,15,19/10/71,32637,75,NO
1103,"65,010163710652",08/06/17,ALMACENAMIENTO,9,02/03/02,49216,45,NO
6844,"359,044188421244",28/06/15,MEMORIA,16,14/05/87,30204,80,NO
3209,"332,549819193972",25/03/16,RATONES Y TECLADOS,1,19/10/97,10858,5,NO
3928,"491,390636378088",10/08/15,MEMORIA,14,10/09/90,9193,70,NO
9415,"366,886243275738",07/12/20,ALMACENAMIENTO,12,18/01/77,33299,60,NO
1933,"563,652049458648",29/11/21,CPU,11,14/05/98,37468,55,NO
8635,"295,318502136544",13/11/22,CPU,6,30/01/96,46839,30,NO
4497,"446,191090239185",21/11/15,MONITOR,11,12/08/82,24760,55,NO
1494,"801,547013328572",28/09/17,MEMORIA,2,15/04/80,24560,10,NO
8373,"541,935678171472",01/03/17,ALMACENAMIENTO,16,26/05/01,20820,80,NO
7450,"752,153546570957",12/09/17,RATONES Y TECLADOS,17,18/01/77,3750,85,NO
1984,"810,124624979651",26/12/21,RATONES Y TECLADOS,19,09/08/03,33920,95,NO
6393,"85,6288995506752",20/10/17,MONITOR,14,05/03/99,24318,70,NO
5680,"252,224665654651",07/09/18,MONITOR,3,27/12/95,18290,15,NO
5300,"464,007355155477",05/07/18,MEMORIA,5,13/01/82,25290,25,NO
9934,"570,680590658455",08/12/20,MONITOR,20,22/12/88,28193,100,NO
9569,"290,068262329148",08/10/16,MONITOR,2,14/02/78,6910,10,NO
5760,"102,661046765512",13/01/15,RATONES Y TECLADOS,3,08/01/79,50408,15,NO
4182,"876,640107127368",13/09/20,ALMACENAMIENTO,12,13/12/88,9245,60,NO
4709,"912,174671469316",14/01/20,CPU,12,26/09/04,15150,60,NO
2543,"995,551243595123",02/01/20,ALMACENAMIENTO,5,20/05/78,6907,25,NO
2750,"831,356618751135",01/11/21,ALMACENAMIENTO,2,29/07/93,49750,10,NO
8415,"157,54728696413",06/12/17,RATONES Y TECLADOS,14,02/03/00,43140,70,NO
9638,"23,7709844048132",06/09/21,ALMACENAMIENTO,4,17/02/76,4470,20,NO
4432,"415,850549717646",08/11/22,CPU,20,19/06/02,24150,100,NO
8763,"704,55280379289",07/03/19,RATONES Y TECLADOS,7,06/03/99,21580,35,NO
1720,"588,384307680687",12/07/18,RATONES Y TECLADOS,6,17/01/83,36814,30,NO
8558,"563,058003045356",11/07/16,MEMORIA,2,09/06/73,38915,10,NO
8571,"297,54703628333",23/06/15,MONITOR,10,10/05/00,33188,50,NO
8294,"695,193338755922",12/06/18,ALMACENAMIENTO,16,14/11/88,27727,80,NO
9205,"137,548946286147",25/03/15,MEMORIA,12,12/02/00,24132,60,NO
1131,"912,215141559895",22/04/15,CPU,11,23/04/92,40500,55,NO
5146,"551,516417001899",20/03/20,MONITOR,8,19/02/94,17853,40,NO
2592,"180,238389446445",29/03/19,ALMACENAMIENTO,12,19/07/02,26325,60,NO
7343,"455,505920035524",19/12/15,ALMACENAMIENTO,4,07/11/01,27659,20,NO
6159,"365,570297544416",15/11/18,ALMACENAMIENTO,20,05/03/84,17100,100,NO
8550,"438,52512503604",06/01/18,ALMACENAMIENTO,2,18/04/79,9349,10,NO
9456,"333,477286585595",11/06/22,MONITOR,18,03/06/81,33675,90,NO
9833,"286,879617172818",21/01/21,RATONES Y TECLADOS,1,14/02/86,25215,5,NO
9034,"628,282740023036",02/01/19,CPU,5,06/02/79,33340,25,NO
7565,"837,334267628426",17/12/21,CPU,17,15/04/90,17131,85,NO
3586,"21,5234208728177",06/05/22,ALMACENAMIENTO,2,13/12/86,49341,10,NO
3290,"331,215952665687",03/06/19,ALMACENAMIENTO,7,23/12/80,4119,35,NO
1559,"630,781725413851",29/05/19,MONITOR,12,26/09/02,8710,60,NO
6544,"563,389728777028",19/12/18,MEMORIA,4,25/07/75,24836,20,NO
6639,"399,850481876959",01/12/21,RATONES Y TECLADOS,7,01/05/78,44433,35,NO
4025,"337,112326261356",26/06/22,MONITOR,20,05/01/94,15175,100,NO
1231,"904,250848133878",05/08/18,MONITOR,13,07/09/93,28691,65,NO
9706,"50,3660191228232",28/11/15,MEMORIA,6,12/10/00,32783,30,NO
1141,"854,360107341397",27/07/21,MEMORIA,7,25/01/88,26288,35,NO
7522,"196,202108606169",18/05/18,MONITOR,19,19/04/84,27328,95,NO
3522,"345,459384861377",17/10/19,RATONES Y TECLADOS,10,13/09/83,32300,50,NO
1565,"878,75995686635",19/08/19,RATONES Y TECLADOS,16,30/11/74,8210,80,NO
7307,"639,699808820414",22/08/15,MEMORIA,14,13/07/89,9293,70,NO
4801,"623,768895242005",08/09/21,MEMORIA,17,26/06/81,2005,85,NO
8577,"532,792150960145",17/01/20,MEMORIA,4,28/01/05,50140,20,NO
4469,"542,07089535007",01/04/20,MEMORIA,12,22/04/72,50005,60,NO
1725,"250,392214432165",16/06/15,CPU,2,05/03/77,22587,10,NO
4630,"17,3718700610155",18/02/19,MEMORIA,10,10/09/01,8029,50,NO
9697,"812,338154402147",07/10/21,MEMORIA,20,04/08/81,36587,100,NO
6329,"491,866066450839",10/07/21,RATONES Y TECLADOS,8,13/06/72,37216,40,NO
3139,"410,651170384992",24/09/16,ALMACENAMIENTO,2,22/06/96,29620,10,NO
1959,"643,273018967605",25/10/17,RATONES Y TECLADOS,1,14/01/83,8202,5,NO
8670,"44,0243491208802",04/04/16,RATONES Y TECLADOS,15,08/12/97,21208,75,NO
9365,"66,3814597503849",11/08/18,CPU,8,22/07/81,47512,40,NO
7498,"499,257912911646",15/08/15,CPU,15,16/10/78,49834,75,NO
2290,"523,848590605418",10/12/22,ALMACENAMIENTO,1,04/03/95,45440,5,NO
8414,"913,27767745564",11/07/22,RATONES Y TECLADOS,8,30/09/95,43714,40,NO
4906,"537,276266754841",12/01/19,RATONES Y TECLADOS,8,15/08/93,32679,40,NO
9290,"285,160989953384",26/10/16,MONITOR,10,01/05/04,17497,50,NO
9362,"488,535951830047",08/05/15,MONITOR,4,22/04/84,19321,20,NO
5994,"395,924005158728",17/06/19,ALMACENAMIENTO,1,02/01/76,35006,5,NO
