"","hr","holiday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","instant","mnth","yr"
"271","6",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.65,0.1642,16,14018,8,1
"272","7",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.65,0.1343,39,14019,8,1
"273","8",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.54,0.2239,119,14020,8,1
"274","9",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.48,0.2239,217,14021,8,1
"275","10",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.51,0.1642,328,14022,8,1
"276","11",FALSE,FALSE,"Clear to partly cloudy",0.74,0.6667,0.42,0.1642,449,14023,8,1
"277","12",FALSE,FALSE,"Clear to partly cloudy",0.74,0.6667,0.42,0.194,505,14024,8,1
"278","13",FALSE,FALSE,"Clear to partly cloudy",0.78,0.697,0.4,0,543,14025,8,1
"279","14",FALSE,FALSE,"Clear to partly cloudy",0.76,0.6818,0.4,0.194,579,14026,8,1
"280","15",FALSE,FALSE,"Clear to partly cloudy",0.76,0.6818,0.4,0.1343,577,14027,8,1
"281","16",FALSE,FALSE,"Clear to partly cloudy",0.76,0.6818,0.4,0.1045,513,14028,8,1
"282","17",FALSE,FALSE,"Clear to partly cloudy",0.8,0.697,0.33,0,505,14029,8,1
"283","18",FALSE,FALSE,"Clear to partly cloudy",0.78,0.6818,0.35,0.1045,491,14030,8,1
"284","19",FALSE,FALSE,"Clear to partly cloudy",0.74,0.6515,0.4,0.1343,465,14031,8,1
"285","20",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6515,0.45,0,300,14032,8,1
"286","21",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6667,0.51,0.0896,220,14033,8,1
"287","22",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.58,0.1343,181,14034,8,1
"288","23",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.61,0,110,14035,8,1
"289","0",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.65,0.1045,47,14036,8,1
"290","1",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.65,0.0896,14,14037,8,1
"291","2",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.69,0.1045,9,14038,8,1
"292","3",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.69,0,6,14039,8,1
"293","4",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.69,0.1045,11,14040,8,1
"294","5",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.69,0.1045,36,14041,8,1
"295","6",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5909,0.73,0.0896,159,14042,8,1
"296","7",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.65,0.1343,436,14043,8,1
"297","8",FALSE,TRUE,"Misty",0.72,0.6667,0.51,0.0896,673,14044,8,1
"298","9",FALSE,TRUE,"Misty",0.74,0.6667,0.45,0,305,14045,8,1
"299","10",FALSE,TRUE,"Misty",0.76,0.6818,0.4,0,199,14046,8,1
"300","11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.4,0.0896,245,14047,8,1
"301","12",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.4,0.194,276,14048,8,1
"302","13",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.4,0.1642,254,14049,8,1
"303","14",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.33,0.1045,248,14050,8,1
"304","15",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7273,0.34,0.2239,274,14051,8,1
"305","16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.36,0.0896,464,14052,8,1
"306","17",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.36,0.1642,818,14053,8,1
"307","18",FALSE,TRUE,"Clear to partly cloudy",0.76,0.697,0.52,0.2836,812,14054,8,1
"308","19",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.58,0.1642,555,14055,8,1
"309","20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.62,0.2239,432,14056,8,1
"310","21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0.194,290,14057,8,1
"311","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.62,0.3284,192,14058,8,1
"312","23",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.7,0.2239,128,14059,8,1
"313","0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.2239,60,14060,8,1
"314","1",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.2537,27,14061,8,1
"315","2",FALSE,TRUE,"Misty",0.68,0.6364,0.83,0.194,11,14062,8,1
"316","3",FALSE,TRUE,"Misty",0.68,0.6364,0.83,0.194,3,14063,8,1
"317","4",FALSE,TRUE,"Misty",0.68,0.6364,0.83,0.194,5,14064,8,1
"318","5",FALSE,TRUE,"Misty",0.68,0.6364,0.89,0.194,36,14065,8,1
"319","6",FALSE,TRUE,"Light Precipitation",0.64,0.5758,0.83,0.194,64,14066,8,1
"320","7",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.0896,179,14067,8,1
"321","8",FALSE,TRUE,"Misty",0.66,0.5909,0.89,0.0896,618,14068,8,1
"322","9",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0,402,14069,8,1
"323","10",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0.1045,208,14070,8,1
"324","11",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.62,0,196,14071,8,1
"325","12",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7121,0.49,0.1343,300,14072,8,1
"326","13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7273,0.46,0.0896,286,14073,8,1
"327","14",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7424,0.41,0.2239,255,14074,8,1
"328","15",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.2239,283,14075,8,1
"329","16",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7424,0.43,0.2239,458,14076,8,1
"330","17",FALSE,TRUE,"Light Precipitation",0.76,0.7273,0.66,0.2537,812,14077,8,1
"331","18",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.2836,854,14078,8,1
"332","19",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.194,627,14079,8,1
"333","20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.7121,0.74,0.2239,436,14080,8,1
"334","21",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.62,0.2239,308,14081,8,1
"335","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0.0896,189,14082,8,1
"336","23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0.1642,167,14083,8,1
"337","0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.61,0.194,60,14084,8,1
"338","1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.61,0,37,14085,8,1
"339","2",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.65,0,8,14086,8,1
"340","3",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.74,0.1045,11,14087,8,1
"341","4",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.83,0.1045,4,14088,8,1
"342","5",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5909,0.78,0.1045,39,14089,8,1
"343","6",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5909,0.78,0.1045,172,14090,8,1
"344","7",FALSE,TRUE,"Misty",0.66,0.6212,0.69,0.194,492,14091,8,1
"345","8",FALSE,TRUE,"Misty",0.7,0.6515,0.65,0.2836,682,14092,8,1
"346","9",FALSE,TRUE,"Misty",0.72,0.6818,0.62,0.194,367,14093,8,1
"347","10",FALSE,TRUE,"Misty",0.72,0.6818,0.62,0.194,233,14094,8,1
"348","11",FALSE,TRUE,"Misty",0.74,0.6818,0.58,0.194,235,14095,8,1
"349","12",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.55,0.2239,307,14096,8,1
"350","13",FALSE,TRUE,"Misty",0.78,0.7121,0.49,0.194,294,14097,8,1
"351","14",FALSE,TRUE,"Misty",0.76,0.697,0.52,0.2985,255,14098,8,1
"352","15",FALSE,TRUE,"Clear to partly cloudy",0.76,0.697,0.52,0.2537,266,14099,8,1
"353","16",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.48,0.194,431,14100,8,1
"354","17",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.55,0.2836,851,14101,8,1
"355","18",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.2239,848,14102,8,1
"356","19",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.61,0.1343,649,14103,8,1
"357","20",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.61,0.1343,427,14104,8,1
"358","21",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.61,0.194,315,14105,8,1
"359","22",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.61,0.1642,226,14106,8,1
"360","23",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.65,0.1045,138,14107,8,1
"361","0",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.69,0,76,14108,8,1
"362","1",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.73,0,21,14109,8,1
"363","2",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.69,0.194,15,14110,8,1
"364","3",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5909,0.73,0.2537,4,14111,8,1
"365","4",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5909,0.73,0.2239,5,14112,8,1
"366","5",FALSE,TRUE,"Clear to partly cloudy",0.6,0.5758,0.78,0.1642,37,14113,8,1
"367","6",FALSE,TRUE,"Clear to partly cloudy",0.6,0.5758,0.78,0.1642,165,14114,8,1
"368","7",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.69,0.2239,464,14115,8,1
"369","8",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.61,0.194,682,14116,8,1
"370","9",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.54,0.1045,337,14117,8,1
"371","10",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.48,0.1343,199,14118,8,1
"372","11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6667,0.37,0.0896,274,14119,8,1
"373","12",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.33,0.1045,343,14120,8,1
"374","13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.31,0.2239,300,14121,8,1
"375","14",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7121,0.32,0,248,14122,8,1
"376","15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.33,0.2537,260,14123,8,1
"377","16",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7121,0.32,0.2239,419,14124,8,1
"378","17",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7273,0.34,0.194,897,14125,8,1
"379","18",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.36,0,832,14126,8,1
"380","19",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.4,0.1045,677,14127,8,1
"381","20",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.4,0.0896,514,14128,8,1
"382","21",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.48,0.194,356,14129,8,1
"383","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.51,0.1642,254,14130,8,1
"384","23",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.54,0.1045,226,14131,8,1
"385","0",FALSE,TRUE,"Clear to partly cloudy",0.68,0.2424,0.57,0.1642,88,14132,8,1
"386","1",FALSE,TRUE,"Clear to partly cloudy",0.66,0.2424,0.65,0.1045,54,14133,8,1
"387","2",FALSE,TRUE,"Clear to partly cloudy",0.66,0.2424,0.61,0.1343,19,14134,8,1
"388","3",FALSE,TRUE,"Clear to partly cloudy",0.64,0.2424,0.65,0.1045,6,14135,8,1
"389","4",FALSE,TRUE,"Clear to partly cloudy",0.64,0.2424,0.73,0.1642,9,14136,8,1
"390","5",FALSE,TRUE,"Clear to partly cloudy",0.64,0.2424,0.73,0.1045,36,14137,8,1
"391","6",FALSE,TRUE,"Clear to partly cloudy",0.62,0.2424,0.78,0.1343,157,14138,8,1
"392","7",FALSE,TRUE,"Clear to partly cloudy",0.64,0.2424,0.73,0.1045,379,14139,8,1
"393","8",FALSE,TRUE,"Clear to partly cloudy",0.68,0.2424,0.65,0.1343,668,14140,8,1
"394","9",FALSE,TRUE,"Clear to partly cloudy",0.7,0.2424,0.58,0.1045,378,14141,8,1
"395","10",FALSE,TRUE,"Clear to partly cloudy",0.74,0.2424,0.55,0.1642,231,14142,8,1
"396","11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.2424,0.52,0.2836,303,14143,8,1
"397","12",FALSE,TRUE,"Clear to partly cloudy",0.82,0.2424,0.41,0.2239,365,14144,8,1
"398","13",FALSE,TRUE,"Clear to partly cloudy",0.84,0.2424,0.36,0.3881,357,14145,8,1
"399","14",FALSE,TRUE,"Clear to partly cloudy",0.86,0.2424,0.34,0.4179,328,14146,8,1
"400","15",FALSE,TRUE,"Clear to partly cloudy",0.86,0.2424,0.3,0.4627,383,14147,8,1
"401","16",FALSE,TRUE,"Misty",0.84,0.2424,0.32,0.4478,488,14148,8,1
"402","17",FALSE,TRUE,"Clear to partly cloudy",0.82,0.2424,0.36,0.3284,791,14149,8,1
"403","18",FALSE,TRUE,"Misty",0.82,0.2424,0.38,0.2537,669,14150,8,1
"404","19",FALSE,TRUE,"Misty",0.74,0.2424,0.55,0.3881,491,14151,8,1
"405","20",FALSE,TRUE,"Misty",0.72,0.2424,0.58,0.2239,359,14152,8,1
"406","21",FALSE,TRUE,"Misty",0.68,0.2424,0.69,0.2985,255,14153,8,1
"407","22",FALSE,TRUE,"Light Precipitation",0.66,0.2424,0.83,0.194,213,14154,8,1
"408","23",FALSE,TRUE,"Light Precipitation",0.64,0.2424,0.83,0.2239,121,14155,8,1
"409","0",FALSE,FALSE,"Misty",0.64,0.5758,0.83,0.2239,105,14156,8,1
"410","1",FALSE,FALSE,"Light Precipitation",0.62,0.5455,0.94,0.1642,92,14157,8,1
"411","2",FALSE,FALSE,"Light Precipitation",0.62,0.5606,0.88,0.1642,43,14158,8,1
"412","3",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5606,0.88,0.194,30,14159,8,1
"413","4",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5909,0.73,0.2239,13,14160,8,1
"414","5",FALSE,FALSE,"Clear to partly cloudy",0.6,0.5758,0.78,0.2537,9,14161,8,1
"415","6",FALSE,FALSE,"Clear to partly cloudy",0.6,0.5606,0.83,0.2239,27,14162,8,1
"416","7",FALSE,FALSE,"Clear to partly cloudy",0.6,0.5606,0.83,0.2239,64,14163,8,1
"417","8",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.69,0.2537,189,14164,8,1
"418","9",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.65,0.2836,292,14165,8,1
"419","10",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.54,0.1642,480,14166,8,1
"420","11",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6667,0.51,0,536,14167,8,1
"421","12",FALSE,FALSE,"Clear to partly cloudy",0.76,0.6667,0.37,0.194,654,14168,8,1
"422","13",FALSE,FALSE,"Clear to partly cloudy",0.74,0.6515,0.4,0.194,644,14169,8,1
"423","14",FALSE,FALSE,"Clear to partly cloudy",0.76,0.6667,0.37,0.2836,598,14170,8,1
"424","15",FALSE,FALSE,"Clear to partly cloudy",0.76,0.6667,0.37,0.2239,596,14171,8,1
"425","16",FALSE,FALSE,"Clear to partly cloudy",0.76,0.6667,0.37,0.2537,641,14172,8,1
"426","17",FALSE,FALSE,"Clear to partly cloudy",0.76,0.6667,0.37,0.2239,635,14173,8,1
"427","18",FALSE,FALSE,"Clear to partly cloudy",0.74,0.6515,0.37,0.1642,554,14174,8,1
"428","19",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6364,0.45,0.1642,488,14175,8,1
"429","20",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6364,0.45,0.1045,341,14176,8,1
"430","21",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.61,0,338,14177,8,1
"431","22",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.61,0,261,14178,8,1
"432","23",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.65,0.0896,235,14179,8,1
"433","0",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.57,0.0896,187,14180,8,1
"434","1",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.65,0,131,14181,8,1
"435","2",FALSE,FALSE,"Misty",0.62,0.6061,0.69,0.0896,119,14182,8,1
"436","3",FALSE,FALSE,"Misty",0.62,0.6061,0.61,0.1642,55,14183,8,1
"437","4",FALSE,FALSE,"Misty",0.62,0.6061,0.65,0.1642,26,14184,8,1
"438","5",FALSE,FALSE,"Misty",0.6,0.5909,0.73,0.1343,11,14185,8,1
"439","6",FALSE,FALSE,"Misty",0.62,0.6061,0.69,0.1045,20,14186,8,1
"440","7",FALSE,FALSE,"Misty",0.62,0.6061,0.69,0.1343,41,14187,8,1
"441","8",FALSE,FALSE,"Misty",0.64,0.6061,0.69,0.1045,124,14188,8,1
"442","9",FALSE,FALSE,"Misty",0.66,0.6212,0.74,0,270,14189,8,1
"443","10",FALSE,FALSE,"Misty",0.68,0.6364,0.69,0,425,14190,8,1
"444","11",FALSE,FALSE,"Light Precipitation",0.64,0.5909,0.78,0.1642,272,14191,8,1
"445","12",FALSE,FALSE,"Light Precipitation",0.64,0.6061,0.73,0,298,14192,8,1
"446","13",FALSE,FALSE,"Light Precipitation",0.64,0.5758,0.83,0.1343,162,14193,8,1
"447","14",FALSE,FALSE,"Light Precipitation",0.64,0.6061,0.73,0,149,14194,8,1
"448","15",FALSE,FALSE,"Misty",0.64,0.6061,0.65,0,276,14195,8,1
"449","16",FALSE,FALSE,"Misty",0.66,0.6212,0.65,0,356,14196,8,1
"450","17",FALSE,FALSE,"Misty",0.64,0.5909,0.78,0.1045,343,14197,8,1
"451","18",FALSE,FALSE,"Misty",0.64,0.5909,0.78,0.1045,377,14198,8,1
"452","19",FALSE,FALSE,"Misty",0.64,0.6061,0.73,0.1343,341,14199,8,1
"453","20",FALSE,FALSE,"Misty",0.64,0.6061,0.73,0.194,274,14200,8,1
"454","21",FALSE,FALSE,"Light Precipitation",0.62,0.5909,0.78,0.0896,190,14201,8,1
"455","22",FALSE,FALSE,"Misty",0.62,0.5909,0.78,0.1642,56,14202,8,1
"456","23",FALSE,FALSE,"Misty",0.62,0.5909,0.73,0,46,14203,8,1
"457","0",FALSE,TRUE,"Misty",0.6,0.5606,0.83,0.1045,26,14204,8,1
"458","1",FALSE,TRUE,"Clear to partly cloudy",0.6,0.5606,0.83,0.1642,10,14205,8,1
"459","2",FALSE,TRUE,"Clear to partly cloudy",0.6,0.5606,0.83,0.1642,5,14206,8,1
"460","3",FALSE,TRUE,"Clear to partly cloudy",0.6,0.5455,0.88,0.1045,3,14207,8,1
"461","4",FALSE,TRUE,"Misty",0.6,0.5606,0.83,0.0896,7,14208,8,1
"462","5",FALSE,TRUE,"Misty",0.6,0.5606,0.83,0,37,14209,8,1
"463","6",FALSE,TRUE,"Misty",0.6,0.5758,0.78,0.1343,161,14210,8,1
"464","7",FALSE,TRUE,"Misty",0.62,0.5909,0.78,0.1343,442,14211,8,1
"465","8",FALSE,TRUE,"Misty",0.62,0.5909,0.73,0.1045,655,14212,8,1
"466","9",FALSE,TRUE,"Misty",0.64,0.6061,0.69,0,357,14213,8,1
"467","10",FALSE,TRUE,"Misty",0.64,0.6061,0.69,0.0896,193,14214,8,1
"468","11",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.65,0.1045,241,14215,8,1
"469","12",FALSE,TRUE,"Misty",0.66,0.6212,0.61,0.1045,282,14216,8,1
"470","13",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.58,0.1343,291,14217,8,1
"471","14",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.54,0.1642,275,14218,8,1
"472","15",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.54,0.2537,309,14219,8,1
"473","16",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.54,0.2537,460,14220,8,1
"474","17",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.58,0.2836,893,14221,8,1
"475","18",FALSE,TRUE,"Misty",0.62,0.5909,0.78,0.2537,815,14222,8,1
"476","19",FALSE,TRUE,"Misty",0.62,0.5909,0.78,0.194,299,14223,8,1
"477","20",FALSE,TRUE,"Misty",0.62,0.5758,0.83,0.2836,261,14224,8,1
"478","21",FALSE,TRUE,"Clear to partly cloudy",0.6,0.5606,0.83,0,245,14225,8,1
"479","22",FALSE,TRUE,"Misty",0.6,0.5606,0.83,0,161,14226,8,1
"480","23",FALSE,TRUE,"Misty",0.6,0.5606,0.83,0,102,14227,8,1
"481","0",FALSE,TRUE,"Misty",0.6,0.5606,0.83,0.0896,59,14228,8,1
"482","1",FALSE,TRUE,"Misty",0.6,0.5606,0.83,0.1343,33,14229,8,1
"483","2",FALSE,TRUE,"Misty",0.58,0.5455,0.88,0.2836,8,14230,8,1
"484","3",FALSE,TRUE,"Clear to partly cloudy",0.56,0.5303,0.88,0,3,14231,8,1
"485","4",FALSE,TRUE,"Clear to partly cloudy",0.56,0.5303,0.88,0,4,14232,8,1
"486","5",FALSE,TRUE,"Clear to partly cloudy",0.56,0.5303,0.83,0.0896,34,14233,8,1
"487","6",FALSE,TRUE,"Clear to partly cloudy",0.56,0.5303,0.83,0.1045,169,14234,8,1
"488","7",FALSE,TRUE,"Clear to partly cloudy",0.6,0.5758,0.78,0.1045,519,14235,8,1
"489","8",FALSE,TRUE,"Clear to partly cloudy",0.6,0.5758,0.78,0.1343,723,14236,8,1
"490","9",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.69,0,328,14237,8,1
"491","10",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.61,0.1045,178,14238,8,1
"492","11",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.54,0,256,14239,8,1
"493","12",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6515,0.45,0,305,14240,8,1
"494","13",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6515,0.4,0,331,14241,8,1
"495","14",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6667,0.37,0.0896,302,14242,8,1
"496","15",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6667,0.37,0,302,14243,8,1
"497","16",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6667,0.37,0,467,14244,8,1
"498","17",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.2836,878,14245,8,1
"499","18",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.54,0.2239,625,14246,8,1
"500","19",FALSE,TRUE,"Light Precipitation",0.62,0.5909,0.73,0.1045,476,14247,8,1
"501","20",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.73,0,358,14248,8,1
"502","21",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.73,0,280,14249,8,1
"503","22",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5909,0.78,0,232,14250,8,1
"504","23",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5758,0.83,0,136,14251,8,1
"505","0",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5758,0.83,0.1045,55,14252,8,1
"506","1",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5909,0.78,0,21,14253,8,1
"507","2",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5909,0.78,0,17,14254,8,1
"508","3",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5909,0.78,0,7,14255,8,1
"509","4",FALSE,TRUE,"Clear to partly cloudy",0.58,0.5455,0.83,0.1045,8,14256,8,1
"510","5",FALSE,TRUE,"Clear to partly cloudy",0.6,0.5758,0.78,0,40,14257,8,1
"511","6",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5909,0.73,0,187,14258,8,1
"512","7",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5909,0.78,0,553,14259,8,1
"513","8",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.73,0.0896,740,14260,8,1
"514","9",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.65,0,376,14261,8,1
"515","10",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.61,0.0896,225,14262,8,1
"516","11",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0.0896,267,14263,8,1
"517","12",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0,312,14264,8,1
"518","13",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.48,0.1045,316,14265,8,1
"519","14",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.45,0.1045,266,14266,8,1
"520","15",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.48,0.1343,316,14267,8,1
"521","16",FALSE,TRUE,"Light Precipitation",0.74,0.6818,0.55,0.2239,460,14268,8,1
"522","17",FALSE,TRUE,"Light Precipitation",0.74,0.6818,0.55,0.2239,783,14269,8,1
"523","18",FALSE,TRUE,"Light Precipitation",0.66,0.6212,0.61,0.2239,683,14270,8,1
"524","19",FALSE,TRUE,"Misty",0.66,0.6212,0.74,0,580,14271,8,1
"525","20",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.73,0.194,391,14272,8,1
"526","21",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.73,0,351,14273,8,1
"527","22",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.73,0,281,14274,8,1
"528","23",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.83,0,140,14275,8,1
"529","0",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5909,0.78,0,60,14276,8,1
"530","1",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5758,0.83,0,25,14277,8,1
"531","2",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5758,0.83,0,20,14278,8,1
"532","3",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5758,0.83,0.0896,9,14279,8,1
"533","4",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5758,0.83,0,6,14280,8,1
"534","5",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5758,0.83,0,37,14281,8,1
"535","6",FALSE,TRUE,"Misty",0.6,0.5455,0.88,0.0896,192,14282,8,1
"536","7",FALSE,TRUE,"Misty",0.62,0.5758,0.83,0.0896,481,14283,8,1
"537","8",FALSE,TRUE,"Misty",0.66,0.6212,0.74,0.0896,707,14284,8,1
"538","9",FALSE,TRUE,"Misty",0.7,0.6515,0.7,0,412,14285,8,1
"539","10",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.58,0.0896,233,14286,8,1
"540","11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.48,0.0896,278,14287,8,1
"541","12",FALSE,TRUE,"Clear to partly cloudy",0.78,0.6818,0.38,0,332,14288,8,1
